iter	Logloss
166	0.3230076357
167	0.3227706703
168	0.3225817387
169	0.3223949154
170	0.3222664158
171	0.3218792785
172	0.32165235
173	0.321381882
174	0.3211510165
175	0.3208607992
176	0.3207155052
177	0.3205227479
178	0.3203059726
179	0.3201442949
180	0.319957124
181	0.3197961656
182	0.3196063983
183	0.3193562353
184	0.3191419038
185	0.3188508364
186	0.3186387428
187	0.3184849682
188	0.3182975297
189	0.3180331881
190	0.3177893854
191	0.317609586
192	0.3174105036
193	0.317165451
194	0.3170491779
195	0.3168005008
196	0.3165977357
197	0.3163589889
198	0.3161587452
199	0.315993088
200	0.31579488
201	0.3155669924
202	0.3153942157
203	0.3151719351
204	0.3150228288
205	0.3148142848
206	0.3146330225
207	0.3145044902
208	0.3142613184
209	0.3140237621
210	0.3138777306
211	0.3136881147
212	0.3135579161
213	0.3133632018
214	0.3132491315
215	0.313046146
216	0.3128394378
217	0.3127141171
218	0.3125469729
219	0.3124095335
220	0.3122024536
221	0.3119871678
222	0.311827177
223	0.3116064175
224	0.3114540088
225	0.3112594108
226	0.3110997736
227	0.3108832925
228	0.3106898656
229	0.3104659041
230	0.3103753178
231	0.3101723492
232	0.3100070348
233	0.3097864702
234	0.3096774752
235	0.3095420074
236	0.3093567052
237	0.3092553941
238	0.3091146354
239	0.3089358351
240	0.3088107033
241	0.3086474258
242	0.3084452444
243	0.3081688509
244	0.3079897611
245	0.3077886055
246	0.3076262955
247	0.3074096873
248	0.3071806965
249	0.3069998641
250	0.3067644186
251	0.306556985
252	0.3063802495
253	0.3063025859
254	0.3061275918
255	0.3059036219
256	0.3056834387
257	0.3054789298
258	0.3052999381
259	0.305132588
260	0.3049591137
261	0.3048475005
262	0.3047277142
263	0.3044136047
264	0.3041541981
265	0.304022677
266	0.3038214947
267	0.3036477116
268	0.3034706055
269	0.3032945494
270	0.3030761222
271	0.3029206957
272	0.3028138357
273	0.3027332875
274	0.3025953105
275	0.3024148124
276	0.3022559684
277	0.3021007393
278	0.3019122072
279	0.3017536733
280	0.3015450444
281	0.3013293505
282	0.3012192923
283	0.3010496267
284	0.3008832453
285	0.3007405841
286	0.3006095668
287	0.3004611642
288	0.3002411555
289	0.3000843084
290	0.2999313379
291	0.2997145916
292	0.2995834484
293	0.2994773356
294	0.299310029
295	0.299144562
296	0.2990188235
297	0.2989115324
298	0.2987550548
299	0.2985675279
300	0.2984133669
301	0.2982183329
302	0.2980217622
303	0.2978339519
304	0.2976843673
305	0.2975490061
306	0.2974477592
307	0.2972915371
308	0.2971431429
309	0.2970021299
310	0.2968796794
311	0.2967892783
312	0.2966410307
313	0.296526924
314	0.2963713631
315	0.2961831883
316	0.2960882048
317	0.2959099458
318	0.2958007849
319	0.2956620413
320	0.2955264573
321	0.2954197766
322	0.2952347831
323	0.2950552489
324	0.2949274844
325	0.2948354969
326	0.2946357521
327	0.2944690341
328	0.2943620833
329	0.2942406125
330	0.294058127
331	0.2939233362
332	0.2938423786
333	0.29376099
334	0.2936582414
335	0.2935530575
336	0.2934433819
337	0.2932767644
338	0.2931333282
339	0.2930405547
340	0.2928804876
341	0.2926837316
342	0.2925642056
343	0.2924029287
344	0.292207288
345	0.2920944214
346	0.2919836716
347	0.2918001811
348	0.2915677946
349	0.2914598677
350	0.2913659171
351	0.2911467622
352	0.2909360528
353	0.2907733966
354	0.2906043062
355	0.2904893433
356	0.2903924173
357	0.2902732328
358	0.2901153371
359	0.2899441419
360	0.2898201013
361	0.2896973746
362	0.2894569772
363	0.2892846958
364	0.2890910037
365	0.2889125061
366	0.2887145633
367	0.2885179816
368	0.2883575318
369	0.2882352266
370	0.2880872091
371	0.2878914715
372	0.2876937999
373	0.2875679997
374	0.2874697174
375	0.2873647781
376	0.2871744041
377	0.2870175789
378	0.2869075763
379	0.286781552
380	0.2866416967
381	0.2865011149
382	0.2863722168
383	0.2862529912
384	0.2860928853
385	0.2859707835
386	0.2858361017
387	0.2856703719
388	0.285509434
389	0.2853259374
390	0.2852794005
391	0.2851760949
392	0.2850280907
393	0.2849173615
394	0.2848096321
395	0.2847207847
396	0.284603039
397	0.2844150701
398	0.2843027085
399	0.2840969619
400	0.2839370546
401	0.2838485015
402	0.2837326328
403	0.2835779075
404	0.2834135364
405	0.2832520016
406	0.2831671179
407	0.2830399347
408	0.2829014091
409	0.2827724154
410	0.2826661282
411	0.2826134612
412	0.28242867
413	0.2823150465
414	0.2822048054
415	0.2820335194
416	0.281884917
417	0.2816935948
418	0.2815817551
419	0.2814571708
420	0.2813500516
421	0.2812325444
422	0.2810991354
423	0.2809887017
424	0.280854606
425	0.2807170505
426	0.280592563
427	0.28047209
428	0.2803631156
429	0.2802294813
430	0.2800366477
431	0.2799082051
432	0.279792059
433	0.2796521287
434	0.2795515938
435	0.2794545492
436	0.2793496874
437	0.2792483569
438	0.2790945858
439	0.278970762
440	0.2788513535
441	0.2786692871
442	0.2785204073
443	0.278393373
444	0.2782754069
445	0.2781938777
446	0.2780633787
447	0.2779609147
448	0.2778602576
449	0.2777475726
450	0.2776306055
451	0.2775409032
452	0.2774193246
453	0.2772813161
454	0.277189675
455	0.2770605953
456	0.2769328163
457	0.2767973558
458	0.2766231634
459	0.2765453205
460	0.2764084347
461	0.2762888239
462	0.2761622172
463	0.2760633378
464	0.2759549435
465	0.2758402507
466	0.2757424745
467	0.275628868
468	0.2754965622
469	0.2753936404
470	0.2752315315
471	0.2751261066
472	0.2750313677
473	0.2748894707
474	0.2747374314
475	0.2746556491
476	0.2745183914
477	0.2744167534
478	0.2743446423
479	0.2742560929
480	0.2741622489
481	0.2740806907
482	0.2739450921
483	0.2738422878
484	0.2737751855
485	0.2736649177
486	0.2735596793
487	0.2734425257
488	0.2733755687
489	0.2732910435
490	0.2731854151
491	0.2730459813
492	0.2729455893
493	0.2728094289
494	0.2726819465
495	0.2725353156
496	0.2723358312
497	0.2722063676
498	0.2721299514
499	0.2719893622
500	0.2718052794
501	0.2717399113
502	0.2716046966
503	0.2714850495
504	0.2714309862
505	0.2713152773
506	0.2712359098
507	0.2711055271
508	0.2710250322
509	0.2709015389
510	0.2708005112
511	0.2706922271
512	0.2705472989
513	0.2704385981
514	0.2703401281
515	0.270258743
516	0.2701499237
517	0.2700556268
518	0.2699459875
519	0.2698544457
520	0.2697387695
521	0.2696606324
522	0.2695514509
523	0.2694720193
524	0.2693355015
525	0.2691948991
526	0.2691327897
527	0.2690412467
528	0.2689580827
529	0.2688756864
530	0.2687819224
531	0.2686144414
532	0.2684908912
533	0.2683478437
534	0.2682309989
535	0.2681094469
536	0.267994191
537	0.2679442693
538	0.2678427003
539	0.2677143799
540	0.2676252686
541	0.2675200568
542	0.2673933326
543	0.2672683474
544	0.2671953583
545	0.2670736949
546	0.2669600556
547	0.2668715547
548	0.2667947206
549	0.266731502
550	0.2666333928
551	0.2665306019
552	0.2664720905
553	0.2663771445
554	0.2662465983
555	0.2661453756
556	0.2660344587
557	0.2659296018
558	0.2658286116
559	0.265722345
560	0.2656331501
561	0.2655042352
562	0.2654345243
563	0.2653628407
564	0.2652841489
565	0.2651988353
566	0.265138373
567	0.2649987938
568	0.2649128263
569	0.2648033481
570	0.2647422427
571	0.2646748727
572	0.2645797838
573	0.2644517675
574	0.2643482245
575	0.2642411405
576	0.264165228
577	0.2640726168
578	0.2639613851
579	0.2638515279
580	0.263767257
581	0.2636779095
582	0.2636038523
583	0.2634786709
584	0.2633925253
585	0.2633094352
586	0.2632375566
587	0.2631420535
588	0.2630476609
589	0.2629437438
590	0.2628548661
591	0.2627591899
592	0.2626820652
593	0.2625734323
594	0.2624810549
595	0.2623792957
596	0.2622675772
597	0.2621842884
598	0.2621098945
599	0.2620466408
600	0.2619488646
601	0.2618791005
602	0.2617429982
603	0.26166307
604	0.2615500798
605	0.2614527869
606	0.2613225555
607	0.2612338632
608	0.2611695147
609	0.2610920849
610	0.2609805431
611	0.2608285995
612	0.260718402
613	0.2606087227
614	0.260521566
615	0.2604342579
616	0.2603290558
617	0.2602534473
618	0.2602068874
619	0.2601556663
620	0.2600383117
621	0.2599531361
622	0.2598867362
623	0.2598362223
624	0.259774882
625	0.2596588038
626	0.2595987229
627	0.259547635
628	0.2594610535
629	0.2594055745
630	0.259311194
631	0.2592294081
632	0.2590961662
633	0.2589814395
634	0.2589023844
635	0.258797536
636	0.2587164658
637	0.2586177281
638	0.2585515873
639	0.2584747605
640	0.2584021117
641	0.2583640144
642	0.2583035387
643	0.2582502226
644	0.2582184916
645	0.2580908227
646	0.2580025579
647	0.2579424891
648	0.2578735509
649	0.2578170159
650	0.2577443114
651	0.2576856111
652	0.2575710297
653	0.2575011323
654	0.2573923371
655	0.2573264494
656	0.257225389
657	0.2571452356
658	0.2570267559
659	0.2569342198
660	0.2568402814
661	0.2567414565
662	0.256674864
663	0.2565400163
664	0.2564719403
665	0.2564155445
666	0.2563582224
667	0.2562595513
668	0.2561738804
669	0.256103202
670	0.2560452791
671	0.2560163141
672	0.2559455581
673	0.2558416772
674	0.255798134
675	0.2557503195
676	0.2557128301
677	0.2556373075
678	0.2555790807
679	0.2554690431
680	0.2554145062
681	0.2553128875
682	0.2552106391
683	0.2551555621
684	0.2550743842
685	0.2550210995
686	0.2549248771
687	0.2548345911
688	0.2547500901
689	0.2547278341
690	0.2546301923
691	0.2545136382
692	0.254428149
693	0.2543592968
694	0.2542864252
695	0.2542636084
696	0.2541995736
697	0.254136252
698	0.2540340339
699	0.2539464339
700	0.2538660673
701	0.2538194214
702	0.2536973196
703	0.2536566465
704	0.2535906389
705	0.2535387808
706	0.2534892188
707	0.25338112
708	0.253338755
709	0.2533126601
710	0.2532603067
711	0.253184456
712	0.2530876208
713	0.2529578751
714	0.2529143149
715	0.2528457085
716	0.2527931492
717	0.2527498542
718	0.2527019101
719	0.2526368532
720	0.2526028418
721	0.2525602214
722	0.2524888732
723	0.2524466342
724	0.252358528
725	0.2523216163
726	0.2522584679
727	0.2521831113
728	0.2521289801
729	0.2520736501
730	0.2519845024
731	0.2519056181
732	0.2518390995
733	0.2517754049
734	0.2517258102
735	0.2516247014
736	0.2515290409
737	0.2514833481
738	0.2513922119
739	0.2513026271
740	0.2512297797
741	0.2511110687
742	0.2509913417
743	0.2509276302
744	0.2508522445
745	0.2507974594
746	0.2507174913
747	0.2506507002
748	0.2505751595
749	0.2504973723
750	0.2503944518
751	0.2503034719
752	0.2502482944
753	0.2501524668
754	0.250097035
755	0.2500523328
756	0.2499521262
757	0.2498650082
758	0.2497615063
759	0.249628245
760	0.2495417713
761	0.2494599563
762	0.2493940892
763	0.2493748268
764	0.2493170445
765	0.2492287518
766	0.2491367691
767	0.2490767125
768	0.2490431189
769	0.2489478084
770	0.2488562508
771	0.2487996879
772	0.248681677
773	0.2486128053
774	0.2485409267
775	0.2484687745
776	0.2483864412
777	0.2483045984
778	0.2482310232
779	0.2481979201
780	0.2481138526
781	0.248030783
782	0.2479267762
783	0.2478782254
784	0.2477863288
785	0.2477175007
786	0.2476781403
787	0.2475900571
788	0.247513108
789	0.2474153392
790	0.2473567212
791	0.2472506992
792	0.2471669697
793	0.24711652
794	0.2469970618
795	0.2469480642
796	0.2469005936
797	0.2468255191
798	0.2467950754
799	0.2467169686
800	0.2466482689
801	0.2466175879
802	0.2465768675
803	0.24651975
804	0.2464753469
805	0.2464229959
806	0.2463532947
807	0.24624837
808	0.2461440144
809	0.246052234
810	0.2459634799
811	0.2459182449
812	0.2458950987
813	0.2458120631
814	0.2457356395
815	0.2456664991
816	0.2456378755
817	0.2455800532
818	0.2455378723
819	0.2454859246
820	0.2454448579
821	0.2453528292
822	0.2452793606
823	0.2451973579
824	0.2451209804
825	0.2450893329
826	0.2450529395
827	0.2449788569
828	0.2449098
829	0.2448646654
830	0.2448441242
831	0.2447676317
832	0.2447116743
833	0.2446540808
834	0.2446426379
835	0.2445975458
836	0.2445671844
837	0.2445106858
838	0.2444241624
839	0.244346632
840	0.2442683762
841	0.2442379301
842	0.2441376798
843	0.2440360272
844	0.2439563267
845	0.2438975985
846	0.2438215722
847	0.2437384845
848	0.2436811272
849	0.2436346024
850	0.2435938675
851	0.2435314082
852	0.2434686449
853	0.2434224689
854	0.2433778781
855	0.2432870871
856	0.2432716018
857	0.2432049766
858	0.2431302328
859	0.2430522846
860	0.2430106644
861	0.2429688941
862	0.2429038796
863	0.242867118
864	0.2427665287
865	0.2426737528
866	0.2426242671
867	0.2425156717
868	0.2424836416
869	0.2424164363
870	0.242401605
871	0.2423514993
872	0.2422889043
873	0.2421963392
874	0.2421421499
875	0.2420838008
876	0.2420257399
877	0.2419550081
878	0.241901721
879	0.2418407549
880	0.2417747897
881	0.241678669
882	0.2416493673
883	0.2416133299
884	0.2415455458
885	0.2414851561
886	0.2414227888
887	0.2413605475
888	0.2412797292
889	0.2411706955
890	0.2411245546
891	0.2410483902
892	0.2409777202
893	0.2409326257
894	0.240861246
895	0.2408203222
896	0.2407775164
897	0.2407117825
898	0.2406591991
899	0.2405998872
900	0.2405348133
901	0.2404955558
902	0.2403909169
903	0.240319335
904	0.2402510834
905	0.2401733822
906	0.2401266322
907	0.2400700015
908	0.2400165594
909	0.2399552264
910	0.2399196322
911	0.2398948548
912	0.2398313456
913	0.2397635299
914	0.2397025263
915	0.2396719554
916	0.2396263752
917	0.2395592051
918	0.2395196715
919	0.2394742984
920	0.2394004083
921	0.2393650818
922	0.2392935483
923	0.2392490012
924	0.2391845207
925	0.2391245476
926	0.2390828705
927	0.2390300593
928	0.2389733221
929	0.2389210752
930	0.2388777887
931	0.2388214572
932	0.2387573787
933	0.2387285626
934	0.2386797151
935	0.2386279043
936	0.2385404484
937	0.2384502302
938	0.2383800022
939	0.2383144185
940	0.2382533579
941	0.2382235669
942	0.2381489866
943	0.2380821955
944	0.2380168128
945	0.2379678599
946	0.2379003386
947	0.2378677671
948	0.2378109051
949	0.2377643343
950	0.2377043588
951	0.2376767634
952	0.2376380279
953	0.2375944725
954	0.2375247919
955	0.2374891687
956	0.2374604422
957	0.2374158502
958	0.2373529804
959	0.2373017193
960	0.2372345455
961	0.2371829357
962	0.2371433827
963	0.2370999472
964	0.23706476
965	0.2370328812
966	0.2369896928
967	0.2369104864
968	0.2368652344
969	0.2368250432
970	0.2367802805
971	0.2367320954
972	0.2366601853
973	0.2366236466
974	0.2365786162
975	0.2365477401
976	0.2365057216
977	0.2364299944
978	0.2363617731
979	0.2363290151
980	0.2362458317
981	0.2361850254
982	0.2361010609
983	0.2360805281
984	0.2360419137
985	0.2360020386
986	0.2359730881
987	0.2359022946
988	0.2358544268
989	0.2357925233
990	0.2357170674
991	0.2356701648
992	0.2356180355
993	0.2355658795
994	0.2354982564
995	0.2354191371
996	0.2353645446
997	0.2353427802
998	0.2352682955
999	0.235246777
